ja	and
pelastuslaitos	rescue department
varatuomari	A formal title granted to a lawyer who has been trained on the bench and thus gained sufficient experience to act as a judge in a court.
salaatti	salad
taidemaalari	painter
työhuone	study
pataljoona	battalion
työmatka	business trip
italialainen	Italian
tiedottaminen	informing, reporting
yksityishenkilö	private person
toimipaikka	place of business
yhteydenotto	contact
kierre	thread; worm
lyhentäminen	Abbreviating, abbreviation
keskikenttä	midfield
luukku	A hatch
keskisuomalainen	A person from Central Finland.
keskusrikospoliisi	National Bureau of Investigation
kohokohta	highlight, high point, culmination, climax
kopio	copy
musiikkijuhla	music festival
pesu	washing
suurvalta	A great power
työnjako	division of labour
vakuus	security, collateral
vasemmistoliitto	A Finnish political party.
nykytilanne	status quo
sovittelu	arbitration, conciliation, mediation
vuorineuvos	An honorary title granted for lifetime by the President of the Republic of Finland for persons with remarkable merits in industry; no meaningful English translation.
aikomus	intent
kainalo	armpit
avauserä	opening period, opening half, opening round
jätehuolto	waste management
kateus	envy
pikkukaupunki	small town
vitamiini	vitamin
sivistys	learning, scholarship, sophistication, erudition, civilization
ammattiyhdistysliike	trade union movement
kerttu	warbler
maanantaiaamu	Monday morning
tomaatti	tomato
toveri	companion, comrade
häpeä	shame
juhlinta	celebration
sola	pass
kansainvälistyminen	internationalization; the act of becoming international
kari	rock
laivasto	navy
peto	meat-eating beast, predator
prikaati	brigade
ympäristölautakunta	A municipal environmental committee
alkuerä	qualifier, qualifying round
ele	gesture, sign
asukasluku	A population, as the count of the number of residents in a given area.
levy-yhtiö	record label, label, record company
myyntipäällikkö	sales manager
oikeuslaitos	judiciary, judicial system
ruokavalio	diet
alijäämä	deficit
kuolonuhri	casualty, fatality
kuru	gorge, gulch
metsä	forest, woods
tukka	hair
valtiotiede	political science
erikoislääkäri	specialist
neste	liquid
raiskaus	A rape.
suuryritys	large company or corporation
tippa	A drop.
veitsi	knife
antiikki	The Antiquity, classical antiquity
elintaso	standard of living
tase	balance sheet
yleisradio	public broadcasting company
hiiri	A mouse, used rather indiscriminately for a number of small mouse-resembling rodents mostly in the zoologic family Muridae, but also in Zapodidae and Gliridae.
ihanne	ideal
lahko	cult, sect
markkinointipäällikkö	marketing manager
aluesairaala	regional hospital
noudattaminen	observance, compliance, obeying.
kipinä	spark
puhtaus	cleanness, purity
realismi	realism
kiri	spurt
koulutusohjelma	training program/programme, training schedule
nyrkki	fist
aarre	treasure
aavistus	premonition, intuition
jalkapalloliiga	football league, soccer league
loimu	blaze
nokka	beak, bill, rostrum
oivallus	idea, inspiration, realization
palolaitos	fire department
ankkuri	anchor
keisari	emperor
liperi	lovage
pakolaisjärjestö	refugee organization
täti	"An aunt , as mother's or father's sister."
jenkki	Yankee, usually refers to all inhabitants of the United States
kasvattaja	breeder
loppukesä	late summer
tusina	dozen
jalkakäytävä	sidewalk
korpi	A boreal forest type appearing on moist moraine soils, characterized by dense growth of spruce as the dominating tree species and deep layer of moss as undergrowth. Korpi is often a transition zone between a drier kangas -type forest and various types of suo
lähipiiri	inner circle
palatsi	palace
tragedia	A tragedy.
tuuri	fortune, luck Minulla kävi hyvä tuuri. I had good luck.
kesäaika	summertime, summer time, summer
säästäminen	saving
ampuminen	shooting
korkotaso	interest rate level
muistelma	A recollection, reminiscence.
menekki	consumption, sales, demand
mopo	A moped.
periaatepäätös	decision in principle
rasitus	stress
velallinen	A debtor.
jätkä	A guy, a dude or a bloke
alainen	A subordinate
kaupunginvaltuutettu	member of a city council, councilman, councilor, alderman
kohderyhmä	target group
vietto	celebration
vyöhyke	zone
syrjintä	discrimination
laitoshoito	institutional care
tilaaja	subscriber
yhteenliittymä	union
istuin	seat
kakkossija	second place, second position in a race, election etc.
painotus	stress, emphasis
apuväline	ancillary; tool
milli	A millimetre/millimeter.
sunnuntaiaamu	Sunday morning
palopäällikkö	fire chief, fire marshal
päivämäärä	A date
onni	happiness
päivystys	emergency duty, duty, service
ryhmittymä	alliance, group
suomennos	Finnish translation
valkokangas	screen
avioero	A divorce
oppositiojohtaja	opposition leader
kanne	A claim.
karku	flight mostly used in inessive and illative singular like an adverb, for usage see karussa, karkuun.
leski	widow widower
kirjo	spectrum
toimintamalli	operating model
verilöyly	A massacre, bloodbath, carnage, bloodshed.
kaari	curve
kotka	eagle
lisätieto	additional information
niemi	capepeninsula
harju	esker; in colloquial language also a terminal moraine.
laitahyökkääjä	winger
lähiviikko	Any of the next or past few weeks; mostly used in plural.
ykkönen	one
armas	darling, sweetheart, dear
koripalloilu	basketball
miina	A mine
päivittäistavarakauppa	grocery store
päätavoite	main objective
siivous	cleaning
työväki	workforce, workers as a collective.
lumisade	snowfall
osakepääoma	The share capital of a company
pöytäkirja	minutes
ympäristövaikutus	environmental effect
allakka	almanac
lautanen	A plate
kävelykatu	pedestrian street
pelastus	A rescue used also as modifier in compound terms. pelastusajoneuvo = a rescue vehicle
tapaturma	accident
topi	common tsessebe, Damaliscus lunatus
valistus	Enlightenment
alusta	platform
joutsen	A swan
pato	dam, dike
valtionpäämies	A head of state.
aula	corridor, hallway, lobby
intiaani	Native American, Amerindian,Indian
metso	wood grouse, capercaillie, Tetrao urogallus
rannikko	A coast.
tukku	wholesale
synti	sin
tolppa	post, pole, stilt
hammaslääkäri	dentist
henna	henna
kärppä	stoat, ermine, Mustela erminea
maajoukko	land troops
puheenjohtajuuskausi	period of chairmanship, term of chairmanship
ympäristöasia	environmental issue
käsiala	handwriting
työläinen	A worker
jälkeläinen	descendant
pakettiauto	A delivery van
setä	uncle
aiheuttaja	cause
kansallisuus	nationality
majoitus	accommodation, lodging
kopteri	A copter, a chopper.
työtehtävä	assignment, task
maahantuoja	importer
vastapuoli	The opposite side
kuumuus	hotness
matkatoimisto	travel agency
esikunta	military staff
huuli	A lip.
kuunnelma	radio play
rahapula	shortage of money
väitös	dissertation
keskiosa	middle part, central part
laakso	valley
elinympäristö	habitat
harvinaisuus	rarity
sointi	voice
palkkaaminen	hiring
reppu	Originally any bag, but now mostly refers to a backpack.
illansuu	nightfall
isoäiti	grandmother
loppuviikko	The end of a week, usually understood to refer to a working week, i.e. to mean Thursday and Friday.
arvovalta	authority, prestige
hinnoittelu	pricing
kuula	Abullet.
kävijämäärä	visitor count
määritelmä	definition
tiistaiaamu	Tuesday morning
basso	bass
ryöstäjä	robber
sopeutuminen	adaptation
taimi	A sapling
koulunkäynti	studying, studies
neuvottelupöytä	negotiating table, negotiation table
tilintarkastaja	An auditor
kattila	A pot or kettle
konsti	gimmick, trick, way, manner
paja	smithy, forge
pujottelu	slalom
auto	car
kirjanpito	Bookkeeping, accounting.
madeleine	madeleine
komento	command
laitteisto	hardware, apparatus, equipment
soul	soul music
teollisuusalue	industrial area, industrial region
terveydenhoito	health care
erehdys	mistake
kansanmusiikki	folk music
kylätoimikunta	village committee
perussuomalainen	"true Finn; member of the Finnish political party Perussuomalaiset, known in English as ""True Finns""."
sosialismi	socialism
ambulanssi	ambulance
mehu	juice
hakijamaa	applicant country
hylkääminen	abandonment
kasvis	vegetable
maanmies	compatriot
syöminen	eating
elämäntyö	"lifework, life's work"
hallintojohtaja	administrative director
päiväsakko	day-fine, day fine, unit fine
rahoittaminen	financing, funding
lauta	A board
heimo	tribe
huvila	villa
tutustuminen	becoming acquainted
työvoimapula	labor shortage
varvas	toe
arvonimi	honorific
jänis	hare
lampi	pond
puutalo	wooden house
edistys	progress
hiippakunta	A diocese, bishopric, see.
konepaja	workshop
kristinusko	Christianity, the religion
sara	sedge
tarha	corral
avustusjärjestö	aid organization, humanitarian organization
merkkipäivä	red letter day, special day
toimeksianto	assignment
etuus	benefit
kirjakauppa	bookshop, bookstore, bookseller
liikkuvuus	mobility
elektroniikkateollisuus	electronics industry
nurmi	lawn, grass
pyörätie	cycleway
somero	rough gravel
alaikäinen	A minor, an underage person.
hyppääjä	jumper, one who jumps
maalintekijä	scorer
miehitys	manning
talouskehitys	economic development
baletti	ballet
harha	Illusion, delusion, hallucination, chimera, mirage.
julkkis	celebrity, public figure
välttäminen	avoidance
pentu	cub, puppy
todennäköisyys	Probability, likelihood, odds.
turvallisuusjoukko	peacekeeping force
valmiste	product, preparation
nuorisotyö	youth work
pensas	A bush
rumpali	drummer
logiikka	logic
vartalo	body, torso
huvi	amusement, pleasure
ideologia	ideology
julmuus	cruelty, brutality, atrocity
kauppakeskus	shopping mall, shopping centre
kirves	axe
urakoitsija	contractor, independent contractor
galleria	gallery
tarkistus	inspection, revision
vala	oath
amfetamiini	amphetamine
jalkapalloilija	A footballer, soccer player, football player.
museovirasto	usually capitalized: Museovirasto
pukki	A male goat, billygoat; a buck.
riippuvuus	dependence
terveysministeri	minister of health, secretary of health
juhlasali	ballroom
turvapaikanhakija	asylum seeker
julkaiseminen	publishing
markkina-arvo	market value
sinilevä	blue-green alga
tutkimustyö	research as work or career
vaalitaistelu	election campaign
juontaja	compere, speaker, host, presenter, anchorman
näköpiiri	sphere of vision
oppikirja	A textbook
rehu	fodder
tuotantolaitos	production plant, production facility
armenia	Armenian
instrumentti	instrument
lähtijä	leaver
metsäkeskus	"Since 2012, Suomen Metsäkeskus, the state authority responsible for promoting forestry and good care of nation's forest resources. The authority uses ""The Finnish Forest Centre"" as its official English name. The centre belongs to the maa- ja metsätalousministeriö"
pelastustoimi	emergency service, rescue service
aro	steppe
kansainvälisyys	internationality
kilpailukielto	non-compete term
rakennushanke	construction project, development project
sähköyhtiö	electricity company
talousalue	economic region
kanssakäyminen	interaction
kokonaismäärä	total amount
ratas	cogwheel
skotti	Scot
taidetoimikunta	arts council
teräs	steel
kaluste	piece of furniture, fitment
kihlakunnansyyttäjä	District prosecutor.
kärki	point, tip, cusp
luottamustehtävä	position of responsibility
monopoli	monopoly
sohva	sofa, couch
kulttuurikeskus	cultural centre
vuosikokous	annual meeting
näyttelytila	exhibition space
rakennuslupa	construction permit, building permit
torjuminen	refusal, denial
hormoni	hormone
murto	A burglary.
palautus	refund
perusturva	basic social security
supistus	reduction, cutback, cut
toimikausi	term
väärinkäyttö	abuse, misuse
äänioikeus	right to vote, franchise, suffrage, voting right Fifteenth Amendment to the United States Constitution:
kokki	A cook.
yhtenäisyys	cohesion, unity
akatemia	An academy
käsikirjoittaja	scriptwriter; screenwriter
pörssikurssi	share price
risteily	cruise
sotarikos	A war crime.
tarjouskilpailu	bidding competition
liikennelaitos	"A municipal or regional authority responsible for providing public transportation in its area of operation. There's an ample supply of English equivalents, such as transit authority transit commission public transport authority"
oikeusturva	due process, protection under the law
pinna	spoke
rasite	burden
rotta	rat
sakka	dregs
valuuttarahasto	Short for Kansainvälinen valuuttarahasto - the International Monetary Fund
keskushyökkääjä	In many ballgames, the forward that plays in the centre of the line; a centre.
mafia	mafia
haja-asutusalue	area of dispersed settlement
häviäjä	loser
ikäraja	age limit
jalkapalloliitto	A national footballassociation, especially the Football Association of Finland.
pyörätuoli	wheelchair
tilikausi	accounting period usually synonymous to fiscal year
leijona	A lion, Panthera leo.
ohikulkija	passer-by
opetushallitus	National Board of Education
pääesikunta	headquarters
riesa	nuisance, annoyance, peeve
kantaja	A bearer, carrier
kärkipaikka	top position, lead
miljöö	milieu
sauma	seam
terä	blade, edge
traditio	tradition
ensiapu	first aid
ikääntyminen	aging
itku	cry
jäsenyysneuvottelu	membership negotiation
kotihoito	home care
työttömyysturva	unemployment benefit
ajanjakso	timespan, period of time
asuintalo	building of residence
iskelmä	schlager, hit song, adult pop song
kilpakumppani	fellow competitor
luoja	creator
luoti	bullet
parras	A brink, verge or edge.
pelastaja	savior
takaus	guarantee, guaranty
vihreä	The color green
taistelija	A fighter
autonomia	autonomy
sovinto	A reconciliation, atonement.
säästöpankki	savings bank
torstaiaamu	Thursday morning
fantasia	fantasy
lautta	raft
puhelinnumero	A telephone number.
vaalivoitto	election victory
valtimo	artery
maakaasu	natural gas
akku	An accumulator, rechargeable battery.
allekirjoitus	signature
taikina	dough, paste
tiedotuspäällikkö	communications manager
ympäristönsuojelu	environmental protection, conservation of the environment
foorumi	forum
keppi	stick, cane
lamppu	lamp
hiihtokeskus	ski resort
puolikas	half
veikkaus	guess
koitos	fight
lotta	A member of Lotta Svärd.
maa-alue	land area
rikoskomisario	A detective rank in Finnish police, equal in seniority to komisario.
solidaarisuus	solidarity
työtaistelu	industrial action job action
viranhaltija	office holder
vuokko	Any of the plants of the genera Anemone and Hepatica.
rikosilmoitus	report of an offence
etiikka	ethics
keskeytys	interruption
multa	mould
pankkitili	bank account
salama	lightning, bolt
tarvike	A minor utensil.
iskulause	slogan, catchphrase
konstaapeli	constable
koriste	decoration, ornament
kuha	zander
mittakaava	scale
haastateltu	interviewee
ilkivalta	mischief
onnettomuuspaikka	accident site, site of the accident
raja-asema	border station
avohoito	non-institutional care
hauki	pike northern pike, Esox lucius.
nippu	bundle, bunch
palvelupiste	service point
pankkikriisi	banking crisis
paperiteollisuus	paper industry
vanhuus	age
maankäyttö	land use
mielenterveys	mental health
määrittely	specification
oikeudenkäyntikulu	legal cost
oppositiopuolue	opposition party
kummi	A godparent, godfather or godmother.
loppusumma	grand total
uhkakuva	threat
vastaanottaja	receiver, recipient
laukku	A bag
hiihtoliitto	A national association of skiers.
keskiviikkoaamu	Wednesday morning
kukkula	A hill
voimakkuus	strength
kaipuu	longing
kehittäjä	developer
kotiyleisö	home audience
matkustaminen	travelling
neito	maiden, maid
rattijuopumus	drunk driving
ruokailu	eating
asiakaspalvelu	customer service
korjaustyö	repair, reparation
lahjus	bribe
mellakka	A riot.
perustuslakivaliokunta	The Constitutional Law Committee.
taru	epic, saga
lauantaiaamu	Saturday morning
otos	sample
petra	Alternative form of peura.
terassi	A terrace.
isäntämaa	host country
kassi	bag, satchel
talousjohtaja	financial director
budjettiriihi	"A workshop to finalize a budget; used especially of an annual few days' workshop in which the state budget is balanced."
jauho	flour, milled grain or cereal.
koneisto	machinery
mies	man
pätevyys	competence
pääomatulo	unearned income
sello	cello
seutu	region
pakki	A short form of työkalupakki, which is a box designed to serve as a portable tool storage, a tool box.
salama	lightning, bolt
urut	organ
lilja	lily
puoluevaltuusto	party council
puristus	press, squeeze
sitoumus	commitment, covenant
itsestäänselvyys	something considered self-evident
kansakoulu	Formerly in the Finnish school system, a four- to eight-year elementary school or primary school.
siirtymäkausi	period of transition
allergia	allergy
evakko	evacuee
happi	The gaseous element oxygen, symbol O.
olympiapaikka	Olympic site, Olympic venue
jupakka	altercation
suvi	summer
toisinajattelija	dissident
usko	faith
maailmantalous	world economy
metalliteollisuus	metal industry
syke	pulse, heartbeat
ylioppilaskunta	student association
yläraja	upper boundary, limit
pätkätyö	odd job, temporary work
signaali	signal
toimintakyky	performance
herkkyys	sensitivity
kilpailutilanne	competitive situation
metsäpalo	forest fire
bonus	A bonus
maailmanlista	"A ranking list of World's best athletes in a given event."
osakeanti	share issue
republikaani	A republican
ukko	old man, gaffer
leipomo	bakery
luovutus	extradition
puheenaihe	talking point, theme
talkootyö	work performed in the form of talkoot
keskitaso	average level, middle range; may often be translated into English with an adjective e.g. average, ordinary, middle-range
perjantaiaamu	Friday morning
puukauppa	timber trade
satelliitti	satellite
villa	wool
juristi	A jurist
katsastus	A routine inspection or checkup, especially anobligatory inspection of a car.
liikenneturvallisuus	traffic safety
sotku	A mess
teline	scaffold
ammattikoulu	A vocational school.
halukkuus	willingness
otsa	forehead
testamentti	will
perusoikeus	fundamental right, basic right
demokraatti	democrat
kevättalvi	Late winter or early spring; the time between actual winter and spring.
sisko	sister
taipale	Alternative form of taival.
heroiini	heroin
kasvatustiede	pedagogics
kokonaiskustannus	total cost
ilotulitus	fireworks
muikku	vendace, Coregonus albula
pub	pub
ammattijärjestö	trade union
julkisivu	facade, façade
äänite	A recording
ennakkoäänestys	early voting pre-poll voting advance polling special voting
juhlapuhe	oration
aarnio	a hidden, buried treasure
farssi	farce
jäsenmäärä	membership count
metsuri	lumberjack, lumberman, timberjack, logger
pienyritys	small enterprise
sirkus	circus
tervehdys	A greeting.
kuulo	The sense of hearing.
loppuvaihe	final stage
pappila	rectory, vicarage; manse
kädenvääntö	arm wrestling
lohtu	Comfort, consolation, solace.
omistusosuus	share of ownership
pääty	end
vuoristo	A mountain range.
ampumahiihto	biathlon
eno	An uncle
maakuntajohtaja	The executive director of a maakunnan liitto
standardi	standard
henkilöllisyys	identity
kylmyys	coldness
maatalouspolitiikka	agricultural policy
nurmikko	lawn
tuhoaminen	destruction, annihilation
tuloero	income difference, difference in income
umpikuja	blind alley, dead-end, dead end, cul-de-sac
äänivalta	voice
etujärjestö	interest group
haastateltava	interviewee
paratiisi	paradise
tietämys	knowledge
turvatoimi	security measure
yhteishenki	esprit de corps
majuri	A major
sähkölaitos	electric utility
hovi	court
kotikunta	municipality of residence
maakuntahallitus	regional board
musta	black
paperitehdas	A paper mill.
pukeutuminen	dressing
taidenäyttely	art exhibition
avainasema	key position
ministerivaliokunta	"A committee named from the ministers of a government for discussion and limited decision-making on a specified field, such as economic or security policy. Such committees within the government of Finland are called ""Cabinet Committee"" in English."
ajattelutapa	way of thinking
avausmaali	opening goal
kantti	edge
kunnallispolitiikka	municipal politics
kehotus	A request.
psykologia	psychology
ratkaisija	solver
romantiikka	Romanticism
velkoja	creditor
ääri	verge
metsänhoitoyhdistys	forest management association
sara	sedge
sotaveteraani	war veteran
ydinjäte	nuclear waste
heimo	tribe
juomavesi	drinking water
puoluejohto	The leadership of a party.
täyte	filling
vapaaehtoistyö	volunteering, volunteer work
alasajo	shutdown, especially a step-wise process of stopping a system such as an industrial process or a business in a controlled manner
dialogi	dialogue/dialog
kunnas	hill
rakennuslaki	building act
tuloveroprosentti	income tax rate
kauppakamari	chamber of commerce
lompakko	wallet
antibiootti	antibiotic
nauta	A cow or bull.
nykytaide	contemporary art
työkyky	professional skills
hakanen	A small hook.
maja	hut
sukka	sock.
tappelu	A fight, as a heated verbal or physical dispute between two or more parties; an altercation; a wrangle.
yksityisyys	privacy
elanto	livelihood, bread
kartoitus	mapping
sesonki	season
solmu	knot
taite	turn
tuloverotus	income taxation
tunturi	A fell
hanko	pitchfork
palaveri	A meeting.
suojatti	protege
taksa	fee
viestin	A medium
jauho	flour, milled grain or cereal.
saamelainen	Sami
taimen	brown trout
yrtti	herb
ekonomisti	economist
imu	suction
riisi	rice
siimes	shade
viimeistely	finishing
isku	hit, blow
kapitalismi	capitalism
hautakivi	gravestone, tombstone, headstone
hunaja	honey
kokonaistuotanto	total production
syyteharkinta	consideration of charges
isi	dad, father
kansanvalta	Democracy.
kärsivällisyys	patience.
ruusu	rose
alkusyksy	early autumn
ikävuosi	year of age
kuilu	shaft
porvari	A merchant or shopowner.
talonpoika	peasant
ylityö	overtime work
aikakauslehti	periodical, magazine
banaani	banana
euro	euro
huumausaine	illegal drug, narcotic
ilmakehä	atmosphere
luonnonsuojelu	conservation of nature
huoltamo	service station
kuntosali	gym
loppukausi	late season
ponsi	anther
hirvi	elk, moose
kauppahalli	market hall, indoor market
mäkiviikko	Four Hills Tournament
rikospoliisi	detective police, criminal police
terveydenhoitaja	public health nurse, community health nurse
vapautuminen	liberation
virsi	A religious hymn or chant.
voimistelu	gymnastics
ikäryhmä	age group
kuntatalous	municipal economy
ongelmajäte	special waste; dangerous waste that can not be dumped in a normal dump
veronalennus	tax cut
edelläkävijä	A forerunner or pioneer
erämaa	wilderness
ilmastointi	air conditioning
kaarre	bend, curve
nyrkkeily	boxing
parhaimmisto	elite
tammi	oak
virkakausi	tenure, incumbency
vuosineljännes	quarter
närhi	jay
täysosuma	A bullseye, direct hit.
havu	fresh sprig or small branch of a coniferous tree
laiho	crop
pokka	poker
rakennelma	A structure, any sort of physical construction.
haulikko	shotgun
kajava	gull
salakuljetus	The act of smuggling
ahneus	greed, greediness
asianomistaja	Injured party
epäonni	misfortune
huvipuisto	amusement park
järvi	lake
keskus	A centre/center
vapaapäivä	A holiday
alkuaika	starting time
eläinaktivisti	animal rights activist
emoyhtiö	parent company
luistin	ice skate, skate
paalupaikka	pole position
sekoitus	admixture
viulisti	violinist
vuoto	leak
elämäkerta	biography
jatke	extension
senaattori	senator
verho	curtain
vyö	belt, girdle
lumivyöry	snow avalanche
oppitunti	lesson
sulo	charm, grace
kapakka	pub, bar, tavern, inn
lähestymiskielto	Restraining order, peace bond.
maailmankuva	world view, worldview
nuotti	note
ehkäiseminen	prevention
postimerkki	A stamp or postage stamp.
tietojärjestelmä	information system
varustamo	shipping company
epäluulo	suspicion
johtoasema	lead
lisäaika	extra time
lämmitys	heating
otto	taking
muistio	memorandum, memo
rauhansuunnitelma	peace plan
tapahtumapaikka	Venue, scene.
hallitsija	ruler
luotettavuus	reliability
pelastaminen	rescue
turvavyö	safety belt, seat belt
yrityskauppa	A transaction, usually an acquisition or a merger, in which a business changes ownership.
nautinto	pleasure, enjoyment
öljy-yhtiö	An oil company.
kansanmurha	A genocide, holocaust.
tarkkailu	monitoring
valtaus	seizing, occupation, act of occupying sth, act of taking over sth
hanki	snow blanket
maallikko	layman
taloustilanne	economic situation
työsopimus	employment contract
viive	lag, delay
ahven	European perch, Perca fluviatilis.
ilmatila	airspace
katko	A cut, break, pause
keskipiste	centre/center point, midpoint
leirintäalue	campsite, camp site, camping site, camping area, campground, camping park
martta	A female member of the Martha organisation.
nelson	nelson
savuke	A cigarette
tee	tea
tykki	gun with a calibre of more than 20 millimeters
herra	mister, gentleman, sir
linkki	link
mummu	grandma
pysäkki	stop
rukous	A prayer
vänskä	second lieutenant
juhlapäivä	holiday
juominen	drinking
kilpi	shield, protective armor
koukku	hook
päänsärky	headache
tynnyri	barrel
työharjoittelu	practical training
kuljettaminen	transportation
tikka	woodpecker
vartti	A quarter.
vetonaula	attraction
arkielämä	everyday life
englantilainen	Englishman or Englishwoman.
lappu	A small piece of paper, textile etc.
paremmuus	superiority
viro	The Estonian language; compare eesti.
ylikonstaapeli	police sergeant
kasvuvauhti	growth rate
kuormitus	strain, load, stress.
päivälehti	daily paper
radioasema	radio station
valkosipuli	garlic
ekonomi	The Finnish title and/or job title used of graduates in economics or business administration
illallinen	dinner; in formal occasions often used in plural
koostumus	composition, constitution
rata	railroad track, line
kemikaali	chemical
sairaanhoito	health care
salibandy	floorball.
tuuli	wind
ammus	bullet, projectile
häkki	cage
lauma	herd, flock
neuvottelukierros	A negotiation round
suojeleminen	protection
uutinen	An item of news.
vasemmistopuolue	left-wing party
isännöitsijä	building manager, administrator of a condominium, deputy landlord
kasvaminen	growing
kurjuus	misery
pelimies	womanizer, player, sport, gambler
viitta	sign
alkoholijuoma	alcoholic beverage
puhti	energy, vigor, vitality, vim, zip
rasti	diagonal cross
etätyö	telecommuting
hyvitys	rebate, refund
jälleenrakennus	reconstruction
kuitti	receipt
pyry	snowstorm, blizzard
journalismi	journalism
lukkari	A pitcher
maalari	Any person that paints, a painter.
miekka	sword
pop	pop
toipuminen	convalescence
volyymi	volume
moottorikelkka	snowmobile, snowscooter
peura	A reindeer or a caribou, a general term used to refer to the deer species Rangifer tarandus and its twelve sub-species.
puolustuspeli	defensive play
pääkirjasto	main library
sininen	The color blue.
esikoinen	firstborn
kunnianosoitus	A homage.
luokanopettaja	class teacher
pikkutyttö	little girl
sianliha	pork
home	mildew, mould
huoltaja	A guardian of a minor.
mestaruuskilpailu	championship
tuotemerkki	brand
basisti	bassist
myötätuuli	A tailwind or fair wind.
produktio	production
tavoittelu	action noun of the verb tavoitella
yhteisyritys	joint venture
ennustus	divination
käärme	snake
lajike	cultivar
melodia	melody, tune
piru	The Devil
purkki	can
siika	European whitefish, common whitefish or any of its subspecies.
vuode	bed
yhteydenpito	communication
frangi	franc
jälleenrakentaminen	reconstruction
kesätyö	summer job
kiekko	A disk or a disc
sitaatti	quotation
valtionsyyttäjä	State prosecutor.
verohelpotus	tax relief
elämä	life
häviö	defeat
asuntotuotanto	residential construction
keskushallinto	central government
sauva	wand, staff, stick, rod
tulitus	firing
akateemikko	An academician
kakkonen	two
lataus	charge
murhaaja	A murderer;a murderess.
everstiluutnantti	A lieutenant colonel.
finalisti	finalist
hulluus	madness
isovanhempi	grandparent
saapas	boot
seos	mixture, mix
siirtymäaika	transition time
yhteiskuntatiede	social science
arkku	chest
astma	The chronic respiratory disease Asthma.
asuntoalue	residential area
marketti	supermarket or hypermarket
pohjoinen	north
viidakko	thicket
estradi	dais
johtajuus	leadership
luomus	A creation
päiväraha	per diem
tahko	grindstone
tutkimusryhmä	research group
verotoimisto	tax office
asianosainen	A party.
keitto	soup
murtuma	A fracture.
päärooli	leading role
wales	The Welsh language.
ympäriajo	The act of driving around something, often in the form of a race.
ajoitus	timing
huipputaso	top quality
maahanmuutto	immigration
millimetri	millimetre
paljastus	A revelation, a disclosure, an exposure
säiliö	vessel, container, tank, cistern
valtakunnansovittelija	conciliator general
verenpaine	blood pressure
biologia	biology
kaksonen	A twin.
lomake	form
näkökohta	point
paarma	horsefly, breezefly, gadfly
propaganda	propaganda
sananvapaus	freedom of speech
tamperelainen	A person from, or an inhabitant of, Tampere
turismi	tourism
eläkevakuutus	pension insurance
kanttori	cantor
luonnonsuojelualue	conservation area, protected area
päivänvalo	daylight
sadasosa	one-hundredth
säde	radius
kolmio	triangle
opinahjo	school
piippu	pipe
äänestyspaikka	polling station, place
kamarimusiikki	chamber music
kääntäjä	translator
reaktori	reactor
single	single
sopupeli	fixed match
vähyys	scarcity
hyönteinen	An insect.
kaivaus	excavation
apulaisjohtaja	deputy director
kuluttajahinta	consumer price
noita	A witch.
puusto	The trees of an area collectively; the forest cover.
räjähde	explosive
seksuaalisuus	sexuality
suomenhevonen	Finnish horse, Finnhorse
työväenopisto	A learning institution resembling a community college, providing adult education in a wide variety of topics. The programs are open for everyone, usually for a small fee.
asiakaskunta	clientele, patronage, customer base
mittelö	fight, battle
muuttaja	mover
rehellisyys	honesty, sincerity
suorituskyky	performance
viemäri	sewer
jäätelö	ice cream
luistelu	ice skating
nähtävyys	An attraction
täysistunto	A plenary session.
alahuone	lower house of a parliament
joulukuusi	Christmas tree
kansaneläke	"In Finland, a flat rate pension[1], to which people who are covered by the Finnish social security system are entitled, usually translated as ""national pension"" into English. The pension can be paid on the basis of old age, disability or long-term unemployment. Other income, such as earnings-related työeläkediminishes the national pension."
keskihinta	average price
kirjeenvaihtaja	correspondent
kirpputori	A flea market.
nukketeatteri	puppetry
puro	stream
turvattomuus	insecurity
vahvistuminen	strengthening
keksijä	inventor
pyynti	hunting
silakka	A Baltic herring, Clupea harengus membras.
valtakirja	power of attorney
kiinteistöveroprosentti	property tax rate
ohjaaminen	steering
osuuskauppa	cooperative shop
syyskausi	fall season
varapresidentti	vice president
elpyminen	recovery, resurgence
kaksoisvoitto	double victory
teurastamo	slaughterhouse, abattoir
työrauha	industrial peace
työväline	tool, utensil
esitelmä	An oral presentation or a lecture, especially one given at a learning institution to demonstrate the level of knowledge of the speaker.
huippu-urheilu	competitive sports at the highest level
hätäkeskus	A public-safety answering point, PSAP
liikennevalo	traffic light
vakavuus	severity
infrastruktuuri	infrastructure
poistuminen	The act of leaving.
rakennustyömaa	construction site
ruuna	A gelding.
vastaisku	A counterblow or counterpunch.
faksi	fax, fax machine
joensuulainen	A person from, or an inhabitant of, Joensuu
saaste	pollution
taju	consciousness
vakoilu	espionage, spying
vastakohta	A contrast
huippuluokka	state of the art, highest quality; often translated into English with expressions involving adjectives first-class, top-quality, top-notch
kasarmi	barracks
koppi	small hut or cell, compare koirankoppi
peluri	gambler, player
taika	magic
teologia	theology
oppiaine	study subject
tunnusmerkki	feature, characteristic
viisumi	A visa
arvomaailma	values
hotellihuone	hotel room
lääkitys	medication
nelikko	A quartet, group of four.
nimike	label, title, tag, designation, heading
laatta	A slab, as a flat, broad piece of a relatively stiff material.
lyseo	lyceum
mestaruussarja	championship league
talvikisa	in plural, Winter Olympics
